final_label;count;models
scapula_left;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
scapula_right;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
spleen;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
stomach;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
trachea;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
urinary_bladder;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C1;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C2;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C3;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C4;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C5;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C6;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_C7;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_L1;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_L2;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_L3;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_L4;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_L5;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T1;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T10;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T11;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T12;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T2;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T3;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T4;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T5;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T6;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T7;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T8;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
vertebrae_T9;6;auto3dseg,moose,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
sternum;5;auto3dseg,moose,multitalent,omas,totalsegmentator_2.6
skull;4;auto3dseg,moose,multitalent,totalsegmentator_2.6
thyroid_gland;4;auto3dseg,moose,multitalent,totalsegmentator_2.6
clavicula_left;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
clavicula_right;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
colon;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
duodenum;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
esophagus;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
small_bowel;5;auto3dseg,multitalent,omas,totalsegmentator_1.5,totalsegmentator_2.6
heart;4;auto3dseg,multitalent,omas,totalsegmentator_2.6
prostate;4;auto3dseg,multitalent,omas,totalsegmentator_2.6
spinal_cord;4;auto3dseg,multitalent,omas,totalsegmentator_2.6
atrial_appendage_left;3;auto3dseg,multitalent,totalsegmentator_2.6
brachiocephalic_trunk;3;auto3dseg,multitalent,totalsegmentator_2.6
brachiocephalic_vein_left;3;auto3dseg,multitalent,totalsegmentator_2.6
brachiocephalic_vein_right;3;auto3dseg,multitalent,totalsegmentator_2.6
common_carotid_artery_left;3;auto3dseg,multitalent,totalsegmentator_2.6
common_carotid_artery_right;3;auto3dseg,multitalent,totalsegmentator_2.6
costal_cartilages;3;auto3dseg,multitalent,totalsegmentator_2.6
kidney_cyst_left;3;auto3dseg,multitalent,totalsegmentator_2.6
kidney_cyst_right;3;auto3dseg,multitalent,totalsegmentator_2.6
pulmonary_vein;3;auto3dseg,multitalent,totalsegmentator_2.6
subclavian_artery_left;3;auto3dseg,multitalent,totalsegmentator_2.6
subclavian_artery_right;3;auto3dseg,multitalent,totalsegmentator_2.6
superior_vena_cava;3;auto3dseg,multitalent,totalsegmentator_2.6
